,origin,timestamp,tickLower,tickUpper,amount,amount0,amount1,transaction.blockNumber
51,0x34dbb1bd4814a6a6f9a1a1c5112582cc064ab2ba,1653999207,200710,202720,1645696566018388,6897.794809,0,14878627
52,0xf2247702f152adf9161cd23cfaf24be7248444e3,1653998514,201150,201790,22557867862710700,30464.784191,0,14878567
53,0xfb9779477e5b4834bf2bc02dd29b97b344d0f700,1653998514,200430,200440,1605370090683645177210,23524247.412269,6148.457493103024906118,14878567
54,0xa5a13f62ce1113838e0d9b4559b8caf5f76463c0,1653996447,200410,200420,2451682107666978026712,12561677.656031,21203.072118636062141904,14878436
55,0x199c72be85ea3f45e52231bfbccb2f96593cb5cc,1653993151,200160,203190,3111645749128526,17593.63535,1.058545042648329962,14878215
56,0x243e6ff6fe2316ee225accf8b456c1134cc8fb2e,1653992372,200500,200770,225582441507714779,133999.999999,0,14878162
57,0x9915c60340e773ba76cfb785d3f11c9511615529,1653992029,196260,203190,0,0,0,14878138
58,0x93f635372008b7c5d770aaa6ff313454c8dc498c,1653990726,200490,200500,1502594903747282709509,22467075.312918,5509.997660620573387245,14878052
59,0x2da054af93d06dc140ef84403a67ae7cea89df1c,1653989271,200490,200560,6457743549232177445,999999.999999,0,14877952
60,0x70448fa6dd61fb3f94b806d5def4e5e8dbef7ada,1653988920,200390,200410,3250360066748286845,0,73.000009999999999993,14877921
61,0x26bce6ecb5b10138e4bf14ac0ffcc8727fef3b2e,1653987347,200430,200440,2924895256185726808815,18501307.08288,23533.483312254022371856,14877805
62,0xc836b2da326940386b137e4be454c0c4637fc214,1653985312,200700,201010,2174832190109317944,1467057.840319,0,14877675
63,0x719d385f4b4441d4a4dc3aaabe6e0b2c394c1400,1653983640,191720,203380,0,0,0,14877572
64,0x02b20e089eb8df85248fede288c4acf140dcc831,1653981918,200240,200550,5092923431877065,772.652794,1.378190544142285001,14877448
65,0xbbad96336943a36e3e292d973b3382dd0ba4d1ef,1653981561,200470,200480,1001637447076879542212,18893451.039075,1686.725479352676068876,14877423
66,0x042523db4f3effc33d2742022b2490258494f8b3,1653980874,200460,200470,897672467668811645147,18911360.938051,510.78296928804805785,14877371
67,0xcb5d284d162d1afecfcc84aea1c4ccd642346615,1653980578,199360,201790,0,0,0,14877349
68,0x6046945c5b5ef5933b8e73a98a6ad7bf3e031df7,1653980527,200470,200480,1900951497565741702642,19484523.831408,11521.173856996189816941,14877347
69,0x8394791c87cbe883b3477c5bad8ab2c8686da97c,1653980501,193380,196950,0,0,0,14877346
