,origin,timestamp,tickLower,tickUpper,amount,amount0,amount1,transaction.blockNumber
48,0x77dd52c08f4aaa9da42ed1bf2e738b8969ab980f,2022-06-01,201340,202220,83306906255874212,-152324.245458,-0.0,14879128
49,0x43e4715ae093a4c86b5ecddb52216c4f879e9672,2022-06-01,200670,200680,1012403231155319085072,-21467663.165586,-394.5144471009414,14879122
50,0xa1175a219dac539f2291377f77afd786d20e5882,2022-06-01,199130,201650,0,-0.0,-0.0,14879113
51,0x840f471cad99da5bbdb57f38e51cd15e897d17b0,2022-06-01,199360,203880,69780534092571347,-457843.536136,-98.97839079512732,14879103
52,0x97b397ef337c4faa855df02e63b991ab3fbba113,2022-06-01,200230,200530,111273614801097275,-0.0,-37.449384293087995,14879077
53,0xa8bee92d2441cadb543b93f1b414482955fc1a0d,2022-06-01,199360,201590,0,-0.0,-0.0,14879043
54,0xc1cef46c74425a17c9021394b796642179c5bb98,2022-06-01,200780,206680,54581976195536530,-609120.859697,-0.0,14879041
55,0xcaf4bd0a6705503865be24c8f9106fdffca6303a,2022-06-01,200220,200540,307226611138909539,-0.0,-110.29113349311419,14879002
56,0x840f471cad99da5bbdb57f38e51cd15e897d17b0,2022-06-01,200480,200750,136424533016593155,-58253.128957,-11.672015026643619,14878996
57,0x164572acff302ac81c257299fc5c2a074f069c34,2022-06-01,200820,203190,284876166794536,-1387.852365,-0.0,14878972
58,0x2da054af93d06dc140ef84403a67ae7cea89df1c,2022-06-01,200460,200510,3609112205722915980,-399999.999999,-0.0,14878894
59,0x96f62b9bf2dd1b80efd28d817b3cf154c091fd7d,2022-06-01,197960,202970,0,-0.0,-0.0,14878828
60,0x96f62b9bf2dd1b80efd28d817b3cf154c091fd7d,2022-06-01,197960,202970,4393461608391128,-22453.866651,-11.90771266972872,14878828
61,0x431b5a84acc1297eda88259f300262f1bc3a74f3,2022-06-01,200500,200510,1217350020703785801361,-21612968.911202,-2723.181801518551,14878789
62,0x7c39d57b97c7e3ed305484f5513ccfc2089cde90,2022-06-01,189320,203470,0,-0.0,-0.0,14878787
63,0x84c2ec52e4df895fc52c6a1cd7e7afa6b5c6489b,2022-06-01,197960,202970,0,-0.0,-0.0,14878785
64,0x2d2faa215cae308d0aa853f822c3e5764671c3bf,2022-06-01,200340,200390,75825862293347879,-0.0,-4.25,14878756
65,0x2d0721876c7a4ea6540292f9693d98241ad714b3,2022-06-01,199360,205420,0,-0.0,-0.0,14878726
66,0x840f471cad99da5bbdb57f38e51cd15e897d17b0,2022-06-01,200390,200750,138433274454112655,-80707.081597,-14.83278095417576,14878674
67,0x6046945c5b5ef5933b8e73a98a6ad7bf3e031df7,2022-06-01,200420,200430,1440500066719389768096,-23344133.266783,-4389.12025116507,14878658
68,0x34dbb1bd4814a6a6f9a1a1c5112582cc064ab2ba,2022-06-01,200710,202720,1645696566018388,-6897.794809,-0.0,14878627
69,0xf2247702f152adf9161cd23cfaf24be7248444e3,2022-06-01,201150,201790,22557867862710700,-30464.784191,-0.0,14878567
70,0xfb9779477e5b4834bf2bc02dd29b97b344d0f700,2022-06-01,200430,200440,1605370090683645177210,-23524247.412269,-6148.457493103025,14878567
71,0xa5a13f62ce1113838e0d9b4559b8caf5f76463c0,2022-05-31,200410,200420,2451682107666978026712,-12561677.656031,-21203.07211863606,14878436
72,0x199c72be85ea3f45e52231bfbccb2f96593cb5cc,2022-05-31,200160,203190,3111645749128526,-17593.63535,-1.05854504264833,14878215
73,0x243e6ff6fe2316ee225accf8b456c1134cc8fb2e,2022-05-31,200500,200770,225582441507714779,-133999.999999,-0.0,14878162
74,0x9915c60340e773ba76cfb785d3f11c9511615529,2022-05-31,196260,203190,0,-0.0,-0.0,14878138
75,0x93f635372008b7c5d770aaa6ff313454c8dc498c,2022-05-31,200490,200500,1502594903747282709509,-22467075.312918,-5509.997660620574,14878052
76,0x2da054af93d06dc140ef84403a67ae7cea89df1c,2022-05-31,200490,200560,6457743549232177445,-999999.999999,-0.0,14877952
77,0x70448fa6dd61fb3f94b806d5def4e5e8dbef7ada,2022-05-31,200390,200410,3250360066748286845,-0.0,-73.00001,14877921
78,0x26bce6ecb5b10138e4bf14ac0ffcc8727fef3b2e,2022-05-31,200430,200440,2924895256185726808815,-18501307.08288,-23533.483312254022,14877805
79,0xc836b2da326940386b137e4be454c0c4637fc214,2022-05-31,200700,201010,2174832190109317944,-1467057.840319,-0.0,14877675
80,0x719d385f4b4441d4a4dc3aaabe6e0b2c394c1400,2022-05-31,191720,203380,0,-0.0,-0.0,14877572
81,0x02b20e089eb8df85248fede288c4acf140dcc831,2022-05-31,200240,200550,5092923431877065,-772.652794,-1.378190544142285,14877448
82,0xbbad96336943a36e3e292d973b3382dd0ba4d1ef,2022-05-31,200470,200480,1001637447076879542212,-18893451.039075,-1686.725479352676,14877423
83,0x042523db4f3effc33d2742022b2490258494f8b3,2022-05-31,200460,200470,897672467668811645147,-18911360.938051,-510.78296928804804,14877371
84,0xcb5d284d162d1afecfcc84aea1c4ccd642346615,2022-05-31,199360,201790,0,-0.0,-0.0,14877349
85,0x6046945c5b5ef5933b8e73a98a6ad7bf3e031df7,2022-05-31,200470,200480,1900951497565741702642,-19484523.831408,-11521.173856996189,14877347
86,0x8394791c87cbe883b3477c5bad8ab2c8686da97c,2022-05-31,193380,196950,0,-0.0,-0.0,14877346
87,0x6effe28baac5156fe6d3e8bc18872a8419ce0fa5,2022-05-31,200560,201630,18047721033631076,-41524.279438,-0.0,14877293
88,0xc1cef46c74425a17c9021394b796642179c5bb98,2022-05-31,200780,206680,0,-0.0,-0.0,14877231
89,0xc1cef46c74425a17c9021394b796642179c5bb98,2022-05-31,200780,206680,2274249008147355,-25380.03582,-0.0,14877231
90,0xa5a13f62ce1113838e0d9b4559b8caf5f76463c0,2022-05-31,200490,200500,979744943078938722863,-21202525.616509,-256.4236468424156,14877200
91,0xe457ea3b86262579f16e9b65257168a00ff24981,2022-05-31,199460,200470,0,-0.0,-0.0,14877177
92,0x2da054af93d06dc140ef84403a67ae7cea89df1c,2022-05-31,200410,200560,4284335073324074933,-1099749.494715,-164.2717235410971,14877143
93,0xbbad96336943a36e3e292d973b3382dd0ba4d1ef,2022-05-31,200460,200470,763120028346181912765,-16639416.901269,-148.65118923465383,14877128
94,0x431b5a84acc1297eda88259f300262f1bc3a74f3,2022-05-31,200460,200470,787019864694139345484,-17166906.202027,-150.0757729612401,14877127
95,0xb78588d2a90a4bf2b25c2d6b940b7039b7611c39,2022-05-31,200650,201940,4114317650911777,-11299.63054,-0.0,14877123
96,0xb78588d2a90a4bf2b25c2d6b940b7039b7611c39,2022-05-31,200630,201170,17997033712563974,-21100.182419,-0.0,14877118
97,0xee63001c0b591bdf3ded155a48d74160ee5a7324,2022-05-31,198910,203190,0,-0.0,-0.0,14877053
98,0xd553294b42bdfeb49d8f5a64e8b2d3a65fc673a9,2022-05-31,197110,201620,0,-0.0,-0.0,14877048
99,0x4603180bbb8221157880afaa84638e0fc467738d,2022-05-31,200420,200430,1217227344441327912477,-18514976.068634,-4321.070682801078,14877024
