,date,liquidity,sqrtPrice,token0Price,token1Price,volumeToken0,volumeToken1,tick
0,1654041600,14490089433570798307,1859127059041655299755051913038868,1816.105290636152042114457484759165,0.0005506288678062912978453226878624271,651391155.362599,347228.313592110542481957,201275
1,1653955200,22804972926918533158,1799387440424068928066170010568132,1938.696373219995457913377198534704,0.0005158105280503993735407950318066638,587800084.076666,298754.303825701504718729,200622
2,1653868800,16095766385137393816,1772972635906226582162575040540934,1996.894413476015472952637980731139,0.0005007776040893866289490698915963309,686256879.465227,358585.14601557945254652,200326
3,1653782400,25224572913947480977,1861762779734398546455596251531787,1810.966764913429069053222717662841,0.0005521912491021356267106512450800029,292944664.676362,163187.591818471031557409,201304
4,1653696000,19039177141306932361,1871996125066451183667402351259292,1791.221430629365222439422806474775,0.0005582782691744811655909602983303389,561292724.808531,317385.702716196885858355,201413
5,1653609600,12128851364926145521,1908423751690844730302584170405753,1723.493069781141726497720580753896,0.0005802170124925337202607762266673911,904215831.400115,514117.075460792678514186,201799
6,1653523200,9443284388574325812,1871988168010560516662606975697830,1791.236658160789997173864128309354,0.0005582735231796686475504778934875615,1189533686.399448,641220.740760794566599139,201413
7,1653436800,33577711117341118218,1798871933930757808795292309067317,1939.807684983427357364651505037874,0.0005155150212782786486490277964435565,659103622.7322,334999.797695003120316404,200616
8,1653350400,38268892888831692872,1781659501154436756673539516223842,1977.46930586580492188026157376532,0.0005056968505319809137720415596947242,487687249.663715,248585.242512470416788066,200424
9,1653264000,22409769834862940422,1784255710833534697933372829442096,1971.718796203720590524351590836857,0.0005071717132916547391228383663375424,714079735.542768,350068.500148601138635379,200453
10,1653177600,16475448823355197865,1753890018746250148190612917096327,2040.583893281948729470561659555686,0.000490055813579740622794149299080313,367302095.510058,182991.985729007649651787,200110
11,1653091200,32478414360967729808,1783495030460096246500061696108916,1973.401074668682313644869432710074,0.000506739361215708120936878073960147,304078027.192536,154522.776516062571182042,200445
12,1653004800,23978976148639411869,1791053865006537711788587084259550,1956.779424130004351003767235829721,0.0005110438037463552570345601169126734,681622941.939302,343721.521998846951915591,200529
13,1652918400,14945367140329116028,1764306946377991062784030180112450,2016.558751294016136874727755681542,0.0004958943047696005719862426945451509,808097458.477149,410872.147699076240757481,200228
14,1652832000,11649766704926635560,1812138855951555030611091413000000,1911.5084501587502180195895617263,0.0005231470464684319299330495136687692,736010543.875231,369882.667164939764319492,200763
15,1652745600,15369837723174217120,1733571135542599222358942316511685,2088.698875834887244520687817970894,0.0004787669546670692664831590344044243,493003508.121345,238907.287103388140883011,199877
16,1652659200,15199333842660768492,1763065144201008783228291869922140,2019.40044883602590513039292963417,0.0004951964829840440404299035593652134,933121256.101758,460793.685417173288426462,200214
17,1652572800,12152678928239440337,1711853913727463723027322943000000,2142.03107678839515171965273837714,0.000466846634876710993368691029582688,459658311.960357,221950.914999903532368072,199625
18,1652486400,13297347717053994313,1748549991861243574042960054159875,2053.066707195893993291085118089497,0.0004870762340527227162688722765793991,601375706.948865,299352.230940967544383898,200049
19,1652400000,9542248847163982037,1768869691480557750722523136262144,2006.168865927150651435677681940827,0.0004984625257544559413399544061216263,1009234319.494887,487923.328619706286362378,200280
20,1652313600,8701829172788907223,1793035871577600336117600570776151,1952.455800502780583796588656180129,0.0005121754867600527037592752357142178,1801732521.007106,937252.287010014459156973,200551
21,1652227200,6702303857622365053,1738672281337926083426823401329248,2076.460655398793674778955634186537,0.0004815887059550114472167348002980205,1932845334.185241,862196.611091491704531325,199936
22,1652140800,13204945412292919111,1637128112548638408082970633278732,2342.037448610559893958565901679789,0.0004269786550993286925529906341530472,1399752325.195017,593756.051545368490369991,198732
23,1652054400,7191874564368447231,1678064181383002560512339360864745,2229.164061198169013793514572152975,0.0004485986551669521317105372873304514,1428570649.292242,605592.043627409626407702,199226
24,1651968000,17099776735415002924,1578265149422531950961664984562024,2519.992417681585679298512858615356,0.0003968265908196693905100995515866633,839713588.657896,329787.183104069101689324,197999
25,1651881600,23191032458685190652,1543681700891269576492044493307226,2634.169127648006276762948528699089,0.0003796263457437445492972981314475628,484896642.837506,182322.612105156297537351,197556
26,1651795200,24543985296195113187,1526580055896627036302786901684846,2693.518725018492996676247900253763,0.0003712615734621017943567282183518934,1053013447.910357,391287.858337590027677544,197334
27,1651708800,27855950680750384942,1511239131468631057765852101629115,2748.481299784204172416706093576357,0.0003638372944645883419562113958198873,940173088.083423,336580.654463093212386657,197132
28,1651622400,34751504591997523074,1461136192666797965714110699106517,2940.206074910059269703912655356293,0.0003401122147639226073561823041670501,875360032.385976,304382.73363189396824992,196457
29,1651536000,48975016959223149190,1502140096089946092043190532505663,2781.879345341739072625214834113697,0.0003594692205736749240373124574602527,780890068.518087,277035.746813634598486243,197011
30,1651449600,37025004370291914162,1482424116672194880154489493777131,2856.368428694918272430197012167276,0.0003500948932056718075539799482279427,712118700.936032,251865.459745981015407306,196746
31,1651363200,24124671171567946967,1490601070143381841866741002398711,2825.116164874727291640775694599059,0.0003539677456216539322962082690475385,623389347.993276,224251.33894413363290301,196857
32,1651276800,25075411427207594315,1517530803264731206768366890207511,2725.73817673077730830980753128379,0.0003668730946122601716196395087111673,624075510.526817,222998.33341238917992007,197215
33,1651190400,17807194459431035981,1493207470797899933780814892950153,2815.262265327780543238820511086482,0.0003552066932860232675738443839128799,612113823.373446,214361.653620245884823791,196891
34,1651104000,30229440197103877511,1461329231258049482499950654584344,2939.429335844118027851518185414936,0.0003402020888223969785319813594778608,696681914.041122,238829.211608098117301127,196460
